"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93"
"signal11",0,4,3,10,1,20,15,10,3,8,4,0,5,1,0,5,4,19,5,4,0,26,3,13,0,0,5,15,3,3,3,6,13,4,4,11,11,0,1,0,1,0,2,2,8,1,3,2,1,5,7,7,5,3,0,3,6,0,15,10,12,4,14,5,14,2,7,4,1,6,2,3,1,2,5,1,2,4,6,2,7,1,3,0,17,8,4,11,2,39,5,0,7
"signal12",0,5,2,0,1,5,7,6,0,19,3,6,2,4,2,8,8,9,3,16,5,13,2,5,10,1,11,10,5,0,19,30,3,1,5,10,13,4,1,0,5,6,1,4,3,1,5,8,0,8,7,15,12,3,0,4,12,4,1,5,6,13,5,3,10,21,1,2,1,16,5,27,1,10,1,2,5,1,23,16,2,3,3,0,13,5,5,5,1,6,0,4,0
"signal13",2,3,0,1,8,13,15,7,8,11,7,1,2,1,0,5,16,13,8,5,0,9,0,7,4,1,7,1,5,9,1,26,3,2,0,23,10,3,2,0,2,4,2,9,7,2,13,22,3,5,11,2,2,5,1,2,10,2,16,8,8,33,13,1,13,1,1,3,2,4,4,25,5,5,12,3,1,16,4,4,6,3,9,1,28,12,11,1,7,8,11,5,1
"signal14",2,0,3,10,3,15,3,1,3,4,5,0,9,2,2,7,13,3,9,12,2,8,8,5,11,1,10,24,2,14,9,22,2,1,10,1,6,1,1,1,1,6,1,2,8,5,10,6,4,19,8,6,14,3,0,1,16,2,10,4,4,12,11,4,12,3,2,9,9,3,9,16,0,12,1,3,2,2,33,4,7,1,2,2,5,6,5,2,10,5,0,2,1
"signal15",1,10,2,3,4,32,1,8,9,4,9,3,10,0,2,13,17,2,22,8,4,19,12,0,2,5,1,24,7,5,5,28,9,1,4,6,6,1,7,0,4,0,1,8,2,1,5,12,4,13,14,5,2,6,3,0,8,2,8,13,2,8,14,16,4,12,3,9,2,10,17,36,8,12,4,6,3,6,4,4,0,5,0,1,26,10,9,7,8,5,3,3,3
"signal16",4,2,0,2,1,7,23,7,0,22,8,4,5,3,4,1,6,12,4,10,3,6,7,11,1,3,4,2,1,17,6,2,25,2,6,19,3,6,0,1,0,2,0,2,9,3,26,4,0,14,13,11,17,5,3,1,31,2,20,15,13,6,4,13,21,1,0,8,2,9,3,4,1,4,8,1,3,2,7,5,0,1,5,0,11,15,2,6,6,5,2,2,1
"signal17",0,7,0,1,2,11,10,7,3,15,7,5,0,2,2,1,6,5,21,15,8,8,5,3,9,6,3,10,1,9,9,9,1,3,5,24,10,4,7,0,7,2,1,7,3,6,7,15,0,9,21,0,1,10,2,0,1,2,9,23,14,9,6,11,10,1,0,8,0,8,0,3,0,1,2,2,2,9,7,4,4,0,1,1,0,7,4,0,8,7,4,3,0
"signal18",0,1,3,5,1,1,11,5,4,8,21,0,12,2,0,1,1,9,11,12,5,2,6,5,4,2,6,9,2,0,15,6,17,3,3,3,20,2,2,5,0,5,4,4,14,5,12,20,5,1,11,0,13,2,3,1,0,1,0,23,1,10,5,2,19,4,2,7,0,6,16,2,2,19,5,4,1,4,28,4,9,0,8,2,18,6,3,2,9,4,6,0,0
"signal19",1,9,6,0,3,8,1,8,8,6,7,0,7,2,0,3,10,6,19,2,7,0,15,3,1,4,6,2,7,6,5,4,20,4,6,18,9,2,0,0,0,0,0,6,5,7,1,2,0,0,7,2,6,0,3,2,19,1,4,18,9,9,7,0,9,4,2,3,1,6,3,2,2,9,14,1,0,1,4,10,6,3,9,0,14,10,5,5,1,1,1,0,2
"signal20",4,2,1,1,2,11,6,4,4,3,2,2,11,5,1,3,14,36,9,3,1,2,2,5,16,5,6,6,1,7,2,18,7,0,0,1,7,0,1,4,4,2,0,6,15,3,30,11,0,0,1,5,8,3,4,1,0,0,3,4,4,8,1,7,6,5,0,6,2,11,11,38,1,9,2,0,6,6,7,0,13,1,12,0,6,4,6,14,24,10,1,2,0
"signal21",2,0,2,0,4,8,1,2,4,3,11,1,3,2,4,0,4,10,5,7,1,13,0,2,4,4,5,2,0,8,1,2,20,5,12,19,9,3,0,7,0,4,3,10,13,3,7,10,2,6,2,8,5,4,1,9,9,0,3,13,9,13,8,4,30,0,3,9,0,14,1,6,0,12,0,0,1,0,5,2,8,2,10,1,12,19,5,4,2,10,2,0,4
"signal22",1,2,0,0,0,15,1,5,1,14,4,1,10,2,0,4,4,3,7,2,24,9,9,9,2,2,8,20,1,1,11,9,5,0,6,9,10,2,3,0,1,0,0,0,0,2,9,0,0,5,4,4,5,10,4,6,17,1,3,2,15,16,4,8,12,7,4,6,2,11,12,7,5,1,2,0,1,5,12,3,3,3,1,1,5,4,5,5,12,7,1,2,1
"signal23",3,2,0,4,1,12,7,17,3,3,26,0,5,3,0,9,5,15,7,5,8,14,9,14,2,6,11,17,4,4,10,8,8,4,9,33,5,7,2,4,3,3,1,0,12,0,10,20,0,1,6,3,9,0,0,3,1,0,3,0,15,4,2,6,7,7,0,10,1,6,13,7,3,1,2,1,1,10,11,5,9,2,3,1,3,18,1,1,5,5,1,0,0
"signal24",3,5,1,3,1,2,6,3,2,8,3,3,11,1,1,2,7,5,14,12,16,10,4,0,3,0,14,5,1,6,12,14,8,2,10,6,9,2,1,0,1,1,2,0,6,1,26,4,0,3,2,1,6,1,4,0,14,0,14,2,4,10,10,3,6,5,1,20,2,2,6,20,1,5,5,3,5,2,1,15,6,2,0,0,34,1,7,12,7,1,1,1,6
"signal25",1,8,1,1,7,6,18,9,2,9,18,2,1,1,2,4,6,10,11,21,10,14,15,12,2,0,6,14,1,4,3,11,3,1,2,10,13,1,0,0,5,1,0,8,9,0,12,12,5,6,4,6,5,6,1,0,7,0,6,32,4,19,8,13,8,8,1,3,5,9,7,12,4,0,4,1,5,0,4,9,2,3,3,3,5,5,4,10,2,2,4,1,1
"signal26",1,4,0,5,6,15,11,6,4,32,24,0,7,2,5,3,15,6,25,3,8,13,2,1,6,4,10,7,1,1,5,14,2,0,5,10,13,1,3,1,0,3,0,0,2,2,3,15,3,3,8,0,16,10,1,8,19,0,1,20,6,10,11,7,6,8,2,2,1,2,25,9,0,8,10,0,2,1,3,6,10,4,11,2,5,1,5,5,0,11,0,0,2
"signal27",6,6,2,1,7,12,16,7,4,6,14,2,3,1,1,11,10,5,9,36,5,0,27,3,2,0,0,2,1,4,6,31,30,0,4,12,5,3,1,1,0,0,1,8,9,0,18,15,0,12,11,14,20,4,5,0,20,0,5,13,2,8,4,10,6,4,2,18,3,2,32,8,4,36,12,1,1,5,8,5,7,4,5,0,14,4,3,0,4,3,0,1,2
"signal28",1,9,2,2,1,27,19,14,8,3,16,5,4,4,0,1,2,19,20,21,3,20,9,4,7,0,3,11,1,8,3,13,25,3,5,9,5,2,1,3,3,1,4,3,3,0,14,1,2,7,3,6,3,3,3,3,2,2,3,1,5,12,11,18,8,8,5,3,2,4,18,3,0,5,9,0,0,5,4,1,6,4,11,2,4,9,2,15,9,3,1,0,0
"signal29",4,3,1,3,4,9,14,19,8,18,15,3,3,0,0,5,17,1,11,12,17,16,4,14,7,2,5,9,2,0,10,1,7,7,5,10,21,1,0,3,2,6,3,10,5,5,5,7,3,2,10,4,0,12,0,2,11,1,2,13,8,26,15,8,8,0,1,0,2,7,11,4,1,15,0,3,4,1,5,4,12,3,14,4,7,6,1,4,12,4,0,0,0
"signal30",7,10,0,4,0,1,1,1,3,4,5,0,16,6,2,8,6,4,10,6,17,3,3,2,17,0,15,4,2,8,7,6,12,5,1,5,15,1,1,2,0,1,3,5,5,0,10,34,0,5,22,9,3,2,0,1,0,2,4,39,6,21,29,1,9,3,2,10,0,15,14,6,2,8,3,4,4,10,24,7,8,1,2,5,5,4,3,5,0,24,1,1,0
"signal31",0,15,1,3,1,4,16,7,1,0,1,2,31,1,4,3,2,8,12,7,11,11,0,9,2,1,13,4,2,1,2,17,11,3,1,22,3,3,3,4,2,0,4,8,10,5,3,7,2,5,1,0,12,1,8,3,3,5,2,5,9,18,26,11,5,3,1,4,0,6,8,8,1,4,4,4,5,6,23,1,10,2,7,1,4,3,9,13,8,1,3,1,7
"signal32",1,3,0,6,0,14,13,3,9,9,7,0,1,1,4,19,33,17,9,5,1,6,10,4,1,5,3,14,3,5,4,13,11,0,2,16,6,0,2,1,2,1,0,7,7,1,27,12,5,7,6,8,7,9,3,5,3,3,13,16,5,16,3,2,13,14,2,1,9,13,4,4,0,13,12,1,1,5,3,6,2,0,28,2,2,12,10,0,8,8,0,0,1
"signal33",0,5,0,1,6,8,12,2,4,12,17,9,7,1,2,5,4,22,16,7,2,6,5,6,16,0,5,7,5,7,4,8,1,3,3,6,3,1,2,2,4,0,4,7,3,0,43,12,5,1,5,6,36,5,1,1,21,0,6,6,4,3,1,3,6,0,0,6,0,0,4,12,5,6,4,0,1,5,12,3,5,0,3,1,15,11,14,6,7,19,2,1,0
"signal34",1,9,0,4,0,15,11,8,11,3,2,0,4,2,3,2,11,14,0,5,8,2,9,0,9,2,9,25,3,7,4,8,1,1,4,15,4,4,1,4,2,3,1,5,10,6,12,18,1,5,5,1,4,1,1,0,13,3,2,2,6,0,7,7,9,8,0,10,3,4,4,8,2,7,3,0,0,1,15,12,12,2,0,1,17,1,8,1,2,16,2,3,4
"signal35",0,10,0,4,0,13,7,8,9,5,1,0,4,1,1,0,1,23,19,3,8,1,6,5,10,0,7,1,3,5,8,10,1,2,3,12,1,5,5,4,7,2,0,4,4,3,3,5,0,13,1,1,8,0,7,3,4,1,10,5,8,6,5,2,10,18,1,4,1,16,5,11,4,10,2,1,2,10,10,2,4,0,7,2,15,3,2,5,11,13,2,8,4
"signal36",0,7,2,9,2,49,10,10,13,14,23,3,13,1,2,5,19,19,4,21,11,18,6,1,6,0,6,6,3,4,17,9,5,2,2,6,6,3,1,6,1,0,3,5,13,1,9,6,3,6,11,3,7,8,2,2,12,1,7,13,9,4,12,17,2,9,5,3,1,14,14,3,1,17,15,1,1,1,6,2,4,1,15,1,15,13,11,5,3,9,3,0,4
"signal37",2,1,10,1,0,4,0,7,1,5,2,3,2,1,2,8,12,1,20,1,4,9,6,3,5,0,15,15,1,2,18,9,13,8,4,13,16,2,0,0,3,0,0,1,0,5,1,18,0,1,13,3,2,1,3,0,9,1,12,4,0,4,14,16,14,10,3,2,1,7,14,20,0,14,5,3,1,5,17,4,16,1,5,3,5,4,3,8,3,1,2,2,2
"signal38",1,4,1,2,0,7,3,24,7,18,19,0,23,1,1,14,8,2,25,14,5,5,10,3,4,6,6,13,2,6,16,1,0,2,4,28,4,3,4,4,1,1,0,5,2,0,16,20,0,6,0,6,21,5,2,4,1,0,11,5,13,0,8,26,8,0,0,0,1,2,8,1,1,36,13,1,2,9,18,24,6,1,3,0,3,13,8,0,4,10,1,2,1
"signal39",1,9,2,7,0,1,8,4,3,9,1,2,3,0,0,2,5,8,18,2,9,9,3,19,7,0,10,15,4,12,8,12,14,1,5,15,8,0,1,1,0,2,0,5,13,5,5,4,3,7,11,3,6,11,1,4,6,8,5,25,3,3,21,5,15,10,7,13,3,6,3,0,0,2,2,0,0,2,2,3,2,3,7,2,10,17,2,1,12,29,0,4,1
"signal40",0,4,8,7,0,35,7,8,11,5,3,2,13,1,2,1,1,13,8,6,0,3,14,3,0,0,0,12,0,7,11,9,13,0,10,4,1,1,1,3,3,4,1,5,7,3,12,12,0,2,7,6,15,3,2,1,1,4,3,6,2,4,10,4,24,3,3,22,3,0,22,15,0,3,2,0,3,2,4,4,5,1,4,0,4,10,25,7,12,28,2,3,2
"signal41",1,9,2,0,1,6,6,3,4,13,4,2,6,4,1,3,12,0,10,8,2,11,4,17,0,1,0,8,1,9,4,20,3,3,6,2,19,0,3,1,1,1,1,6,5,0,13,12,1,4,21,3,6,1,2,2,9,4,11,26,7,3,9,6,6,8,5,3,3,1,18,7,5,6,1,0,3,5,4,2,6,1,3,6,1,8,2,5,13,0,2,1,1
"signal42",0,3,0,0,0,14,9,3,6,2,6,2,2,1,3,4,16,9,21,4,0,11,19,19,6,4,10,10,1,5,5,7,19,2,6,5,1,3,3,2,5,3,6,5,5,2,9,13,0,3,15,2,15,9,1,1,13,4,1,1,3,7,10,17,29,0,1,1,1,0,7,4,2,6,7,0,6,4,4,7,6,1,12,2,2,13,4,17,0,12,1,1,2
"signal43",5,4,1,1,1,9,10,8,1,2,14,5,8,0,2,5,17,15,4,13,11,18,0,14,8,0,0,6,5,8,12,6,27,3,7,24,21,7,0,3,2,1,1,7,4,0,18,2,4,5,10,8,7,1,0,0,4,0,1,15,3,8,28,10,6,21,3,1,1,11,10,14,3,11,8,3,1,4,8,12,9,2,0,1,8,4,9,5,5,13,5,0,0
"signal44",1,6,1,0,2,3,0,17,2,6,5,0,8,2,0,7,14,7,12,5,19,18,18,9,4,4,15,8,1,7,0,2,6,0,7,22,5,0,2,1,0,3,1,6,3,8,9,5,6,7,7,4,9,8,2,5,7,0,2,13,33,7,4,3,10,9,1,2,4,10,4,20,5,7,1,1,0,8,2,0,5,5,5,0,4,5,12,11,4,25,0,0,2
"signal45",2,6,0,1,0,15,13,3,12,12,8,3,1,2,1,6,1,4,14,10,4,6,3,2,4,4,16,6,3,14,20,10,8,1,6,4,14,2,1,0,3,3,0,0,8,3,1,2,1,1,9,10,6,5,3,7,5,3,10,33,7,21,12,20,17,10,2,7,2,1,18,3,1,5,6,1,1,21,17,0,2,2,2,1,15,9,4,4,0,20,6,2,0
"signal46",2,3,4,2,1,2,32,4,2,6,1,0,11,0,2,11,5,2,1,20,3,14,6,6,3,2,7,5,0,11,9,3,11,0,2,3,7,0,2,1,0,1,5,6,11,1,12,8,0,0,9,12,2,3,6,0,5,5,10,30,16,4,13,7,0,7,1,9,5,4,5,26,3,32,0,4,2,8,7,3,5,2,14,0,1,6,18,2,6,13,2,0,3
"signal47",2,8,3,3,2,12,10,25,3,7,16,2,7,1,2,5,0,3,15,7,4,12,6,2,4,0,0,5,0,2,4,2,9,0,3,6,8,1,2,2,0,0,2,6,8,1,16,3,3,1,8,9,6,0,1,10,7,2,7,6,3,6,5,1,10,4,0,8,1,2,9,0,5,1,2,1,1,7,8,4,7,1,14,5,3,8,9,3,11,11,3,1,0
"signal48",4,11,3,2,1,10,16,1,5,5,16,3,15,1,0,0,4,9,5,10,2,19,5,3,0,1,1,23,1,7,7,5,9,5,2,15,3,3,4,3,0,0,1,3,2,0,12,3,3,1,8,12,17,10,0,3,10,1,4,3,4,12,8,3,1,4,2,1,1,12,9,13,0,4,1,0,3,12,6,2,12,1,3,2,12,8,1,11,3,9,1,1,1
"signal49",4,3,6,5,4,15,20,6,1,4,10,0,3,0,0,1,6,9,10,6,0,9,11,1,9,0,2,1,0,10,6,3,1,1,17,4,13,8,4,4,0,1,12,7,11,2,19,1,1,7,5,4,14,5,0,0,16,1,1,6,2,10,30,15,5,5,4,1,1,5,5,5,3,11,3,7,1,5,4,5,5,2,12,2,2,7,1,4,4,5,6,1,1
"signal50",1,10,5,5,0,8,17,8,0,22,4,2,4,1,0,8,10,29,13,6,0,10,7,11,8,4,6,7,0,5,15,8,17,3,12,1,1,5,3,1,0,0,3,12,2,0,14,16,2,6,8,3,2,0,1,0,18,0,2,2,15,27,4,11,11,8,0,5,6,1,12,11,3,15,3,0,0,11,9,4,2,3,6,0,12,5,2,7,2,2,1,2,0
"signal51",2,0,0,2,2,0,0,1,1,2,0,6,0,1,6,0,1,1,1,0,0,0,0,1,0,3,1,0,2,1,0,0,2,3,0,0,0,3,0,4,2,2,0,1,4,1,0,0,3,1,0,0,1,0,3,4,0,1,1,1,1,2,1,0,0,0,2,1,4,0,0,0,0,1,0,2,0,1,1,1,4,5,0,1,0,0,1,0,2,0,6,2,0
"signal52",1,0,1,3,1,1,1,0,0,0,1,1,0,6,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,2,1,0,1,2,0,3,0,1,3,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,1,2,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,2,0,1,1,0,2,3,0,0,0,0,0,1,2,0,2,4
"signal53",3,1,2,2,2,0,1,1,1,2,1,6,0,0,1,1,0,0,0,0,0,0,2,1,0,2,0,0,2,0,2,0,0,1,1,1,1,2,0,0,0,4,3,0,0,1,0,0,3,1,0,0,0,0,0,1,1,0,1,2,0,1,1,1,0,2,0,0,0,0,0,1,0,0,1,5,5,0,1,0,0,1,0,1,2,0,0,2,2,0,0,0,2
"signal54",4,1,1,5,1,0,1,0,1,0,0,0,1,4,1,2,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,5,1,0,0,1,1,1,7,4,0,0,0,2,0,3,0,0,0,2,4,2,1,0,0,2,2,1,0,0,0,1,2,0,1,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,1,9,1,0,0,1,0,0,3,2,5
"signal55",2,1,1,2,1,0,0,0,0,0,0,3,1,4,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,2,0,0,4,2,0,0,1,1,1,1,1,2,0,0,0,1,7,0,0,2,0,0,0,1,0,3,0,5,0,3,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,1,0,0,2,1,0,2,1,4
"signal56",4,0,4,8,2,0,0,0,1,0,0,2,0,1,3,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,1,1,1,1,5,1,4,4,0,1,2,1,2,4,1,1,3,0,1,3,3,0,3,0,0,0,4,2,1,0,0,2,1,3,2,0,1,2,1,1,2,2,1,0,0,0,5,0,2,0,0,0,0,1,1,0,14,6
"signal57",1,0,2,6,8,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,2,0,1,3,0,0,4,0,2,1,0,1,1,1,0,3,2,2,10,2,2,1,0,0,0,1,0,2,0,0,0,1,4,1,1,1,0,2,0,3,0,1,1,2,1,1,7,3,0,1,5,0,0,1,2,0,0,1,0,0,0,6,1,0,0,2,1,1,5,1,0
"signal58",5,0,2,1,7,0,1,1,0,0,0,1,0,1,4,1,0,1,0,0,1,1,0,1,0,1,0,2,0,0,2,0,2,0,1,2,0,0,1,0,4,1,0,0,0,1,1,0,1,0,0,2,0,1,6,6,1,5,0,0,1,0,1,0,0,0,2,0,4,0,0,0,0,2,1,0,4,0,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0
"signal59",2,0,5,0,3,0,0,0,0,0,1,5,1,1,1,0,2,0,0,2,0,0,0,0,1,1,1,0,5,0,0,0,0,1,1,0,0,2,0,3,4,5,0,0,0,1,0,0,0,1,0,0,2,0,4,2,0,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,0,3,3,0,2,1,2,3,0,0,0,2,3,0,0,1,1,7,0
"signal60",1,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,1,0,3,0,0,0,1,3,0,2,0,1,1,0,0,1,0,1,1,0,1,1,2,0,0,2,5,0,0,0,0,0,1,0,0,0,1,0,1,1,0,4,0,1,0,0,3,1,0,0,1,0,1,1,0,0,1,0,1,1,2,0,0,0,1,1,2,0,0,1,0,0,1,0,1,1,2
"signal61",2,1,1,1,3,2,0,0,0,0,1,2,0,2,0,0,0,0,0,1,0,0,3,0,3,10,3,1,1,0,2,0,0,0,2,0,0,5,4,10,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,4,0,1,0,0,0,2,0,2,4,0
"signal62",0,1,2,1,4,0,0,0,1,0,0,6,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,1,2,6,0,3,2,5,2,0,1,0,1,1,0,2,0,1,0,1,2,0,5,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,1,0,1,2,0,2,4
"signal63",1,0,1,2,0,0,0,0,0,1,0,1,1,3,0,2,0,0,0,0,1,0,1,1,0,2,0,2,0,1,0,0,0,1,2,0,0,3,0,4,0,5,1,0,0,0,0,0,2,0,0,0,0,0,2,4,2,1,0,1,0,0,2,1,1,1,1,0,1,1,0,1,4,2,0,2,0,0,0,0,1,5,0,1,0,0,0,1,0,0,2,2,0
"signal64",1,2,0,3,3,0,1,4,0,0,1,4,2,1,1,2,0,1,0,1,1,1,0,0,0,8,1,0,6,0,0,0,1,1,0,0,0,1,1,0,1,2,3,0,0,0,0,2,4,0,0,0,1,0,4,0,0,1,0,0,1,0,1,0,3,1,0,1,3,1,1,1,5,1,0,2,2,1,1,2,2,0,0,2,0,1,0,1,0,0,1,1,1
"signal65",0,2,1,2,1,0,0,1,2,0,1,0,0,2,7,0,0,1,0,0,0,1,1,0,2,1,1,1,0,0,1,0,0,3,1,0,0,5,3,0,0,2,3,0,0,2,1,0,1,2,1,1,0,0,0,3,0,0,0,0,0,1,0,1,2,1,2,2,2,0,1,0,1,0,2,1,0,1,0,0,2,4,0,1,1,0,1,1,1,0,2,3,3
"signal66",5,0,1,2,3,0,0,0,0,2,1,0,2,4,1,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,2,2,3,0,0,0,3,1,9,0,6,4,0,0,0,2,0,0,0,0,0,2,0,1,4,0,6,0,0,0,0,0,1,0,1,2,2,2,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,0
"signal67",5,1,1,0,0,0,0,0,6,1,1,4,0,2,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,0,1,1,0,3,1,7,0,0,0,7,0,0,5,0,1,0,1,1,0,2,0,4,0,1,0,1,2,0,0,2,4,0,1,0,0,0,4,0,1,5,2,0,2,0,2,0,0,0,0,0,0,1,1,1,0,5,0
"signal68",3,1,1,5,1,1,0,0,1,0,1,0,2,0,6,0,0,0,0,0,2,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,4,0,1,2,0,0,3,0,0,0,0,1,3,2,0,6,0,2,1,0,0,0,1,1,5,0,0,1,0,1,0,0,0,5,1,1,0,0,0,3,1,1,2,0,2,0,0,0,0,1,0
